Unnamed: 0,question,answer,equation,scratch,baseline results
2,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",5,100-50-30-15,<scratch>Subtracting 5 from 0 at digit level:  0 < 5:  Borrow: 1: 10 - 5 = 5. move one place left: 0 becomes -1: Subtracting 0 from -1 at digit level:  -1 < 0:  Borrow: 1: 9 - 0 = 9. move one place left: 1 becomes 0: Subtracting 0 from 0 at digit level:  0 >= 0:  Borrow: 0: 0 - 0 = 0. move one place left: 0 remains 0: final result: 95</scratch>,"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?The answer to the problem is $500/annum.
Pay One pay Tilly $5 and see if you can keep your notes for ten years, and significantly reduce the costs of storage fees for those ten years.
Continue with the representation and product analogy. Automobile repair is part of a painting career, Need to cover the majority of the creative process. Psychologist tom rattoff states first it is to recognize, to imagine, to be able. In most cases workplace relationships"
8,"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",41,184-143,<scratch>Subtracting 3 from 4 at digit level:  4 >= 3:  Borrow: 0: 4 - 3 = 1. move one place left: 8 remains 8: Subtracting 4 from 8 at digit level:  8 >= 4:  Borrow: 0: 8 - 4 = 4. move one place left: 1 remains 1: Subtracting 1 from 1 at digit level:  1 >= 1:  Borrow: 0: 1 - 1 = 0. move one place left: 4 remains 4: final result: 41.</scratch>,"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?The answer to the problem is in finger s. WLOG is Equity Committee meeting and will be in room H37 since her co-worker is in the room. Everyone should attend FS Meetings. You will not remember the name of the person who raised the question. FS is tire filling out the Bill of Rule Amendment #811 with the hair policy tweaks
Jacob Lawrence, Jr. (concession in first row, in back)
Robin Hage"
15,James creates a media empire.  He creates a movie for $2000.  Each DVD cost $6 to make.  He sells it for 2.5 times that much.  He sells 500 movies a day for 5 days a week.  How much profit does he make in 20 weeks?,448000,450000-2000,<scratch>Subtracting 0 from 0 at digit level:  0 >= 0:  Borrow: 0: 0 - 0 = 0. move one place left: 0 remains 0: Subtracting 0 from 0 at digit level:  0 >= 0:  Borrow: 0: 0 - 0 = 0. move one place left: 0 remains 0: Subtracting 0 from 0 at digit level:  0 >= 0:  Borrow: 0: 0 - 0 = 0. move one place left: 0 remains 0: Subtracting 2 from 0 at digit level:  0 < 2:  Borrow: 1: 10 - 2 = 8. move one place left: 5 becomes 4: Subtracting 0 from 4 at digit level:  4 >= 0:  Borrow: 0: 4 - 0 = 4. move one place left: 4 remains 4: Subtracting 0 from 4 at digit level:  4 >= 0:  Borrow: 0: 4 - 0 = 4. move one place left: 0 remains 0: final result: 448000.</scratch>,"James creates a media empire.  He creates a movie for $2000.  Each DVD cost $6 to make.  He sells it for 2.5 times that much.  He sells 500 movies a day for 5 days a week.  How much profit does he make in 20 weeks?The answer to the problem is 2 percentage points less profitable than a single person.  He has 3 million people follow him and videos all the people he pays to follow.  If he pays someone $10 to follow him, and someone posts $5 of the videos to YouTube, he gets a reward of $10.  He pays someone a tenth of the profit, which hurts him.  A tenth of the profit means at first, he gets 1.5 thumbs downs"
16,"The profit from a business transaction is shared among 2 business partners, Mike and Johnson in the ratio 2:5 respectively. If Johnson got $2500, how much will Mike have after spending some of his share on a shirt that costs $200?",800,1000-200,<scratch>Subtracting 0 from 0 at digit level:  0 >= 0:  Borrow: 0: 0 - 0 = 0. move one place left: 0 remains 0: Subtracting 0 from 0 at digit level:  0 >= 0:  Borrow: 0: 0 - 0 = 0. move one place left: 0 remains 0: Subtracting 2 from 0 at digit level:  0 < 2:  Borrow: 1: 10 - 2 = 8. move one place left: 1 becomes 0: Subtracting 0 from 0 at digit level:  0 >= 0:  Borrow: 0: 0 - 0 = 0. move one place left: 0 remains 0: final result: 800.</scratch>,"The profit from a business transaction is shared among 2 business partners, Mike and Johnson in the ratio 2:5 respectively. If Johnson got $2500, how much will Mike have after spending some of his share on a shirt that costs $200?The answer to the problem is $1000. If Johnson gives $2500 to Mike in equivalent quantities, what is his price for the same in units of teacher? Simple stories and people tell us that we have friends as family and we don't allow anyone else to take sides. In fact, we don't want any of our stories to becomeмия(s) to how these people perceive other people. We are not able to come to the ones that are true and keep our ego"
22,"Samantha’s last name has three fewer letters than Bobbie’s last name. If Bobbie took two letters off her last name, she would have a last name twice the length of Jamie’s. Jamie’s full name is Jamie Grey. How many letters are in Samantha’s last name?",7,10-3,<scratch>Subtracting 3 from 0 at digit level:  0 < 3:  Borrow: 1: 10 - 3 = 7. move one place left: 1 becomes 0: Subtracting 0 from 0 at digit level:  0 >= 0:  Borrow: 0: 0 - 0 = 0. move one place left: 0 remains 0: final result: 7.</scratch>,"Samantha’s last name has three fewer letters than Bobbie’s last name. If Bobbie took two letters off her last name, she would have a last name twice the length of Jamie’s. Jamie’s full name is Jamie Grey. How many letters are in Samantha’s last name?The answer to the problem is .9057.\n\nBasketball hypotentialy predicts average basketball distance from two players who make variants on the elgence formula while normal and social norms predict average basketball distance from two players who make variants on the scissortouch et al convention. Answer a publication which uses a substantial fractional or marginal case \""Big Basic Hypotia\"" in the post with a following stack of statements using the BASOP threat, Pascal’s Chubes,"
23,"Ann's favorite store was having a summer clearance. For $75 she bought 5 pairs of shorts for $7 each and 2 pairs of shoes for $10 each. She also bought 4 tops, all at the same price. How much did each top cost?",5,75-55,<scratch>Subtracting 5 from 5 at digit level:  5 >= 5:  Borrow: 0: 5 - 5 = 0. move one place left: 7 remains 7: Subtracting 5 from 7 at digit level:  7 >= 5:  Borrow: 0: 7 - 5 = 2. move one place left: 5 remains 5: final result: 20.</scratch>,"Ann's favorite store was having a summer clearance. For $75 she bought 5 pairs of shorts for $7 each and 2 pairs of shoes for $10 each. She also bought 4 tops, all at the same price. How much did each top cost?The answer to the problem is three times as much. That means the total cost of the entire top bust in the $4 amount added to the $3 price frame was $42. All the slightly higher fixing looks paid off, as the bust will fit her size down to the shoulder – which is the most important for a bust which seems to require neutral sizes.30-40% involves using a heel retention sling. Traditional shoes for chatbusting heis or natural"
24,"Mary does her grocery shopping on Saturday. She does her shopping only at a specific store where she is allowed a credit of $100, which must be paid in full before her next shopping trip. That week she spent the full credit limit and paid $15 of it on Tuesday and $23 of it on Thursday. How much credit will Mary need to pay before her next shopping trip?",62,100-38,<scratch>Subtracting 8 from 0 at digit level:  0 < 8:  Borrow: 1: 10 - 8 = 2. move one place left: 0 becomes -1: Subtracting 3 from -1 at digit level:  -1 < 3:  Borrow: 1: 9 - 3 = 6. move one place left: 1 becomes 0: Subtracting 0 from 0 at digit level:  0 >= 0:  Borrow: 0: 0 - 0 = 0. move one place left: 0 remains 0: final result: 62.</scratch>,"Mary does her grocery shopping on Saturday. She does her shopping only at a specific store where she is allowed a credit of $100, which must be paid in full before her next shopping trip. That week she spent the full credit limit and paid $15 of it on Tuesday and $23 of it on Thursday. How much credit will Mary need to pay before her next shopping trip?The answer to the problem is 100€, which means your monthly full credit limit will probably exceed you at the end ofInsert name and a description. We all like to have a favorite someone or someone different.Our favorite just got evicted. David Eddy (D.E.) Has been named the new dean of the College of Physicians at the University of Massachusetts Medical School. He currently serves as the College representative in the office of Chief Jefferson medical Physician, University of California HospIT"
28,"There are 5 houses on a street, and each of the first four houses has 3 gnomes in the garden. If there are a total of 20 gnomes on the street, how many gnomes does the fifth house have?",8,20-12,<scratch>Subtracting 2 from 0 at digit level:  0 < 2:  Borrow: 1: 10 - 2 = 8. move one place left: 2 becomes 1: Subtracting 1 from 1 at digit level:  1 >= 1:  Borrow: 0: 1 - 1 = 0. move one place left: 0 remains 0: final result: 8.</scratch>,"There are 5 houses on a street, and each of the first four houses has 3 gnomes in the garden. If there are a total of 20 gnomes on the street, how many gnomes does the fifth house have?The answer to the problem is c.load_gnomes_on_phone(phone_number). The example below only talks about the first house, and it's not clear how much information the registered gnomes will give.p.callback.on(String,AddModDialog.on_add_step);function pat(name,v) {switch (name) {case ""house"":v(10,m);break;case ""pass"":v(8,playfield);break"
30,"Ann, Bill, Cate, and Dale each buy personal pan pizzas cut into 4 pieces. If Bill and Dale eat 50% of their pizzas and Ann and Cate eat 75% of the pizzas, how many pizza pieces are left uneaten?",6,16-10,<scratch>Subtracting 0 from 6 at digit level:  6 >= 0:  Borrow: 0: 6 - 0 = 6. move one place left: 1 remains 1: Subtracting 1 from 1 at digit level:  1 >= 1:  Borrow: 0: 1 - 1 = 0. move one place left: 6 remains 6: final result: 6.</scratch>,"Ann, Bill, Cate, and Dale each buy personal pan pizzas cut into 4 pieces. If Bill and Dale eat 50% of their pizzas and Ann and Cate eat 75% of the pizzas, how many pizza pieces are left uneaten?The answer to the problem is less than 10; that would come te times pointless. So the kids help. Autumn has and Callaea very good history and the Celestet Hall, and Ni-n Bunon Monastery, also noted in a significant place., Continue reading Autumn yura, Analytical Assessment of the Ukrainian Papers legacy Exists the Industrial – Cultural Corridor within the City of Plymouth – Plymouth, the Port of"
36,"Lisa, Jack, and Tommy earned $60 from washing cars all week. However, half of the $60 was earned by Lisa. Tommy earned half of what Lisa earned. How much more money did Lisa earn than Tommy?",15,30-15,<scratch>Subtracting 5 from 0 at digit level:  0 < 5:  Borrow: 1: 10 - 5 = 5. move one place left: 3 becomes 2: Subtracting 1 from 2 at digit level:  2 >= 1:  Borrow: 0: 2 - 1 = 1. move one place left: 0 remains 0: final result: 15.</scratch>,"Lisa, Jack, and Tommy earned $60 from washing cars all week. However, half of the $60 was earned by Lisa. Tommy earned half of what Lisa earned. How much more money did Lisa earn than Tommy?The answer to the problem is problem one, winner of the prize next foltho! There are 260 possible judges that we can count on in the NFL, and they all know exactly what to do for money. Were they going to take the money if he didn't use it? Actually, many people will totally take the money if he does use it. The fact that the most paying NFL players are the ones with the least money at the end of the season is a gotcha** story"
