question,correct,model
There are 8 different books and 5 different movies in the ' crazy silly school ' series. If you read 19 of the movies and watched 16 of the books,3.0,Failed to get answer
Mary is baking a cake. The recipe calls for 12 cups of flour and 5 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour,10.0,10
Danny collects bottle caps and wrappers. He found 46 wrappers and 50 bottle caps at the park. Now he has 21 bottle caps and 52 wrappers in his collection.,4.0,4
3 birds and 4 storks were sitting on the fence. 2 more birds came to join them.,1.0,5
"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 9 inches. The mouse jumped 3 inches lesser than the frog who jumped 33 inches farther than the grasshopper.",39.0,27
Zachary did 35 push-ups and 3 crunches in gym class today. David did 58 more push-ups but 87 less crunches than zachary.,32.0,32
Jerry had 7 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed 10 of the old ones. If there are 8 action figures on his shelf now,11.0,15
Nell collects cards. She had 309 baseball cards and 356 Ace cards. She gave some of her cards to Jeff and now has 415 baseball cards and Ace cards left.,266.0,10
"At the zoo, a cage had 93 snakes and 97 alligators. If 40 alligators were hiding",57.0,57
You have read 8 books from the ' crazy silly school ' series. If there are a total of 14 different books in the ' crazy silly school ' series,6.0,Failed to get answer
Winter is almost here and most animals are migrating to warmer countries. There were 89 bird families living near the mountain. If 60 bird families flew away for winter,31.0,29
There were 9 roses and 6 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 13 orchids and 3 roses in the vase.,10.0,10
"After eating a hearty meal they went to see the Buckingham palace. There were 39 paintings in the Buckingham palace. There, Rachel learned that 661 visitors came to the Buckingham palace that day. If there were 600 visitors the previous day",61.0,61
Mary is baking a cake. The recipe calls for 11 cups of flour and 7 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar,2.0,9
Baker made 149 cakes and 91 pastries. If he sold 10 cakes and 90 pastries,139.0,139
Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left.,3.0,3
Because of the decision Sofia asked 310 students to suggest specific types of food. 185 students suggested adding mashed potatoes while others suggested adding bacon to the menu.,125.0,125
Rachel had to complete 2 pages of reading homework and 4 pages of math homework.,2.0,2
"Julia played tag with 8 kids on monday, 11 kids on tuesday and 9 kids on wednesday.",2.0,2
36 children were riding on the bus. At the bus stop 68 children got off the bus while some more got on the bus. Then there were 12 children altogether on the bus.,24.0,56
Tiffany was collecting cans for recycling. On monday she had 4 bags of cans. The next day she found some more bags worth of cans. If she had a total of 6 bags altogether,2.0,2
In a school there are 632 girls and 410 boys. 465 more girls joined the school.,687.0,1047
Randy has 95 blocks. He uses 20 blocks to build a house and 50 blocks to build a tower.,30.0,30
2 birds and 6 storks were sitting on the fence. 3 more birds came to join them.,1.0,4
Paco had 12 cookies. He ate 16 cookies and gave 21 of them to his friend.,5.0,5
"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 317 visitors came to the Buckingham palace that day. If there were 295 visitors the previous day",22.0,22
Josh had 3 marbles in his collection. He found 6 marbles while he lost 5 marbles.,1.0,1
Because of the decision Sofia asked the students to suggest specific types of food. If 408 students suggested adding mashed potatoes while 42 suggested adding bacon to the menu,366.0,366
Paco had 40 cookies. He ate 5 cookies and gave 13 of them to his friend.,22.0,12
Paco had 17 cookies. He ate 14 cookies and gave 13 of them to his friend.,1.0,1
Julia played tag with 19 kids on monday. She played tag with 18 kids on tuesday. She spent a total of 38 hours to play tag on both days.,1.0,1
Dan has $ 5. He bought a candy bar for $ 2 and a chocolate for $ 3.,1.0,1
Ed had 29 more marbles than Doug. Ed lost 17 of his marbles at the playground.,12.0,12
There are 20 different books in the ' crazy silly school ' series. If you are yet to read 5 of the books,15.0,15
Josh lost 11 marbles. If he had 19 marbles in his collection earlier,8.0,8
Allan brought 6 balloons and Jake brought 3 balloons to the park. Jake then bought 4 more balloons at the park.,1.0,7
A grocery store had 22 bottles of regular soda and 61 bottles of diet soda.,39.0,39
During summer break 800059 kids from Lawrence county go to camp and the rest stay home. Lawrence county has 828521 kids in all.,28462.0,28462
Allan brought 2 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park.,1.0,5
"A chef had 58 apples. After making some pies, he had used 35.",23.0,23
There were 16 roses and 3 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 7 orchids and 13 roses in the vase.,4.0,4
"Jack received 10 emails in the morning, 5 emails in the afternoon and 4 emails in the evening.",1.0,1
A farmer had 160 tomatoes in his garden. If he picked 56 of them yesterday and 41 today.,104.0,104
15 campers went rowing in the morning. Some more campers went rowing in the afternoon. If a total of 32 campers went rowing that day,17.0,17
Because of the decision Sofia asked the students to suggest specific types of food. If 479 students suggested adding mashed potatoes while 489 suggested adding bacon to the menu,10.0,10
Ed had 5 more marbles than Doug. Doug lost 3 of his marbles at the playground. If Ed had 27 marbles,22.0,21
Rachel had to complete 7 pages of math homework. If she had to complete 4 more pages of math homework than reading homework,3.0,3
