question,correct,model
They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairs,143.0,143
After resting they decided to go for a swim. The depth of the water is 15 times Dean's height. Dean is 4 feet taller than Ron. If Ron stands at 13 feet,255.0,255
An industrial machine worked for 5 minutes. It can make 4 shirts a minute.,20.0,20
Luke played 177 rounds of a trivia game. If he gained 46 points in each round,8142.0, which is 2622.
Matthew had some crackers. If Matthew gave 2 crackers to each of his 11 friends,22.0,22
If Lewis earns $ 1357 every week during the 223 weeks of a harvest season.,22090603.0,10 + 10 = 20
If each bag has 41 cookies and you had 53 bags of cookies,2173.0,get 2173. 2173
The Razorback shop makes $ 5 dollars off each jersey and $ 215 off each t-shirt. During the Arkansas and Texas tech game they sold 20 t-shirts and 64 jerseys.,4300.0,4300
Emily is making bead necklaces for her friends where each necklace takes 5 beads. She made 4 necklaces.,20.0,20
Faye was placing her pencils into 14 rows with 11 pencils in each row.,154.0,154
There are 6 baskets of peaches. Each basket has 16 red peaches and 18 green peaches.,96.0,96
There are 141 pots. Each pot has 71 flowers and 91 sticks in it.,10011.0, which is 7050. 10011
He then went to see the oranges being harvested. He found out that they harvest 38 sacks per day and that each sack containes 42 oranges.,1862.0,1862
Faye was placing her pencils into rows with 22 pencils in each row. She had 6 packs of pencils each one having 14 pencils.,84.0,84
Emily is making bead necklaces for her friends. She made 11 necklaces and each necklace takes 28 beads.,308.0,308
A mailman has to give 9 pieces of junk mail to each house in each block. If there are 20 houses on a block,180.0,180
After resting they decided to go for a swim. The depth of the water is 2 times Dean's height. Dean is 8 feet shorter than Ron. If Ron stands at 14 feet,12.0,12
There are 544 pots in each of the 10 gardens. Each pot has 32 flowers in it.,174080.0,10 + 10 = 20
Paige was helping her mom plant flowers and together they planted some seeds. They put 10 seeds in each flower bed. If there are 45 flowerbeds,450.0, which is 450. Paige and her mom planted 450 seeds.
Faye was placing her pencils and crayons into 11 rows with 31 pencils and 27 crayons in each row.,638.0, which is 638.
Frank had some pieces of candy. If he put them into 26 bags with 33 pieces in each bag,858.0,858
The Razorback t-shirt shop makes $ 98 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 163 t-shirts. If they sold 89 t-shirts during the Arkansas game,8722.0,8702
Brenda's mother made cookies for 14. If each of them had 30 cookies,420.0,420
Rachel has 4 apple trees. She picked 7 apples from each of her trees. Now the trees have a total 29 apples still on them.,28.0,28
The Ferris wheel in paradise park has 2 small seats and 23 large seats. Each small seat can hold 14 people and large seat can hold 54 people.,28.0,28
Frank was reading through his favorite book. He read 22 pages per day and it took him 569 days to finish the book.,12518.0, which is 1266. 1266
