question,answer
They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairs How many chairs do they have in the backyard? The equation to solve this problem is: ( 11.0 * 13.0 ),143
After resting they decided to go for a swim. The depth of the water is 15 times Dean's height. Dean is 4 feet taller than Ron. If Ron stands at 13 feet How deep was the water? The equation to solve this problem is: ( ( 4.0 + 13.0 ) * 15.0 ),105
An industrial machine worked for 5 minutes. It can make 4 shirts a minute. How many shirts did machine make? The equation to solve this problem is: ( 4.0 * 5.0 ),shirts 20 shirts
Luke played 177 rounds of a trivia game. If he gained 46 points in each round How many points did he score in the game? The equation to solve this problem is: ( 177.0 * 46.0 ),8142
Matthew had some crackers. If Matthew gave 2 crackers to each of his 11 friends How many crackers did Matthew have? The equation to solve this problem is: ( 11.0 * 2.0 ),= 22 22 crackers
If Lewis earns $ 1357 every week during the 223 weeks of a harvest season. How much money will he earn if he works for 73 harvest seasons? The equation to solve this problem is: ( ( 1357.0 * 223.0 ) * 73.0 ),2540000
If each bag has 41 cookies and you had 53 bags of cookies How many cookies would you have? The equation to solve this problem is: ( 53.0 * 41.0 ),2173
The Razorback shop makes $ 5 dollars off each jersey and $ 215 off each t-shirt. During the Arkansas and Texas tech game they sold 20 t-shirts and 64 jerseys. How much money did they make from selling the t-shirts? The equation to solve this problem is: ( 215.0 * 20.0 ),= 4300 4300
Emily is making bead necklaces for her friends where each necklace takes 5 beads. She made 4 necklaces. How many beads did Emily have? The equation to solve this problem is: ( 4.0 * 5.0 ),= 20 20 beads
Faye was placing her pencils into 14 rows with 11 pencils in each row. How many pencils does she have? The equation to solve this problem is: ( 14.0 * 11.0 ),pencils 154 pencils
There are 6 baskets of peaches. Each basket has 16 red peaches and 18 green peaches. How many red peaches are in the baskets altogether? The equation to solve this problem is: ( 16.0 * 6.0 ),96  The answer: 96
There are 141 pots. Each pot has 71 flowers and 91 sticks in it. How many flowers are there in all? The equation to solve this problem is: ( 141.0 * 71.0 ),- ( 141.0 * 91.0 ) 9579
He then went to see the oranges being harvested. He found out that they harvest 38 sacks per day and that each sack containes 42 oranges. How many sacks of oranges will they have after 49 days of harvest? The equation to solve this problem is: ( 38.0 * 49.0 ),/ 42.0 174
Faye was placing her pencils into rows with 22 pencils in each row. She had 6 packs of pencils each one having 14 pencils. How many pencils does she have? The equation to solve this problem is: ( 6.0 * 14.0 ),+ ( 22.0 * 6.0 ) 154
Emily is making bead necklaces for her friends. She made 11 necklaces and each necklace takes 28 beads. How many beads did Emily have? The equation to solve this problem is: ( 11.0 * 28.0 ),beads 308 beads
A mailman has to give 9 pieces of junk mail to each house in each block. If there are 20 houses on a block How many pieces of junk mail should he give in each block? The equation to solve this problem is: ( 9.0 * 20.0 ),180
After resting they decided to go for a swim. The depth of the water is 2 times Dean's height. Dean is 8 feet shorter than Ron. If Ron stands at 14 feet How deep was the water? The equation to solve this problem is: ( ( 14.0 - 8.0 ) * 2.0 ),24
There are 544 pots in each of the 10 gardens. Each pot has 32 flowers in it. How many flowers are there in all? The equation to solve this problem is: ( ( 544.0 * 10 ) * 32.0 ),174080
Paige was helping her mom plant flowers and together they planted some seeds. They put 10 seeds in each flower bed. If there are 45 flowerbeds How many seeds did they plant? The equation to solve this problem is: ( 10.0 * 45.0 ),seeds 450 seeds
Faye was placing her pencils and crayons into 11 rows with 31 pencils and 27 crayons in each row. How many pencils and crayons does she have altogether? The equation to solve this problem is: ( ( 31.0 + 27.0 ) * 11.0 ),1008
Frank had some pieces of candy. If he put them into 26 bags with 33 pieces in each bag How many pieces of candy did he have? The equation to solve this problem is: ( 26.0 * 33.0 ),858
The Razorback t-shirt shop makes $ 98 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 163 t-shirts. If they sold 89 t-shirts during the Arkansas game How much money did they make from selling the t-shirts during the arkansas game? The equation to solve this problem is: ( 98.0 * 89.0 ),8712
Brenda's mother made cookies for 14. If each of them had 30 cookies How many cookies did she prepare? The equation to solve this problem is: ( 14.0 * 30.0 ),cookies 420 cookies
Rachel has 4 apple trees. She picked 7 apples from each of her trees. Now the trees have a total 29 apples still on them. How many apples did Rachel pick in all? The equation to solve this problem is: ( 4.0 * 7.0 ),- 29 = 19 19
The Ferris wheel in paradise park has 2 small seats and 23 large seats. Each small seat can hold 14 people and large seat can hold 54 people. How many people can ride the Ferris wheel on small seats? The equation to solve this problem is: ( 2.0 * 14.0 ),= 28 28 people can ride the Ferris wheel on small seats.
Frank was reading through his favorite book. He read 22 pages per day and it took him 569 days to finish the book. How many pages are there in the book? The equation to solve this problem is: ( 22.0 * 569.0 ),Failed to get answer
Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total? The equation to solve this problem is: ( 46.0 * 10.0 ),+ 9.0 499
Shirley sold 25 cases of boxes of trefoils. How many boxes of trefoils does she need to deliver if each case has 14 boxes? The equation to solve this problem is: ( 25.0 * 14.0 ),350
We ordered 17 pizzas. Each pizza has 4 slices. If there are 25 of us How many slices of pizza are there altogether? The equation to solve this problem is: ( 17.0 * 4.0 ),/ 25.0 34
Adam could fit 8 action figures and 10 cabinets on each shelf in his room. His room has 4 shelves. How many total items could his shelves hold? The equation to solve this problem is: ( ( 8.0 + 10.0 ) * 4.0 ),56  To summarize, the answer is 56
The Razorback t-shirt shop makes $ 78 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 186 t-shirts. If they sold 172 t-shirts during the Arkansas game How much money did they make from selling the t-shirts during the Texas tech game? The equation to solve this problem is: ( 78.0 * ( 186.0 - 172.0 ) ),108
He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day and that each sack containes 35 oranges. How many oranges do they harvest per day? The equation to solve this problem is: ( 8.0 * 35.0 ),280
The Ferris wheel in paradise park has 3 small seats and 7 large seats. Each small seat can hold 16 people and large seat can hold 12 people. How many people can ride the Ferris wheel on large seats? The equation to solve this problem is: ( 7.0 * 12.0 ),= 84 84
There are 20 houses in a block. If a mailman has to give 32 pieces of junk mail to each house in each block How many pieces of junk mail should he give each block? The equation to solve this problem is: ( 32.0 * 20.0 ),640
There are 7 baskets of peaches. Each basket has 10 red peaches and 2 green peaches. How many green peaches are in the baskets altogether? The equation to solve this problem is: ( 2.0 * 7.0 ),= 14 14 green peaches
Jesse's rooms are 19 feet long and 18 feet wide. If she has 20 rooms in all How much carpet does she need to cover the floors of all rooms? The equation to solve this problem is: ( ( 19.0 * 18.0 ) * 20.0 ),6840
A mailman has to give 4 pieces of junk mail to each house in each of the 81 blocks. If there are 12 houses in each block How many pieces of junk mail should he give in each block? The equation to solve this problem is: ( 4.0 * 12.0 ),= 48 48
There are some bananas in Philip's banana collection. If the bananas are organized into 140 groups of size 187 How many bananas does he have in his collection? The equation to solve this problem is: ( 140.0 * 187.0 ),bananas 26180 bananas
He also had 56 aquariums for saltwater animals and 10 aquariums for freshwater animals. Each aquarium has 39 animals in it. How many saltwater animals does Tyler have? The equation to solve this problem is: ( 56.0 * 39.0 ),2,184
He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day. How many oranges do they harvest per day if each sack contains 28 oranges? The equation to solve this problem is: ( 66.0 * 28.0 ),1848
Adam could fit 10 action figures on each shelf in his room. His room has could hold 8 action figures. How many total shelves did his room have? The equation to solve this problem is: ( 8.0 * 10.0 ),/ 8.0 = 10 10 shelves
The Razorback shop makes $ 76 dollars off each jersey and $ 204 off each t-shirt. During the Arkansas and Texas tech game they sold 158 t-shirts and 2 jerseys. How much money did they make from selling the jerseys? The equation to solve this problem is: ( 76.0 * 2.0 ),= 152.0 152
Emily is making bead necklaces for her 44 friends. She made 26 necklaces and each necklace takes 2 beads. How many beads did Emily have? The equation to solve this problem is: ( 26.0 * 2.0 ),+ 44.0 = 120.0 120
For the walls of the house John would use large planks of wood. Each plank needs 2 pieces of nails to be secured and he would use 16 planks. How many nails does John need for the house wall? The equation to solve this problem is: ( 16.0 * 2.0 ),= 32.0 32
The Razorback t-shirt shop sells each t-shirt for $ 51 dollars. During the Arkansas and Texas tech game they offered a discount of $ 8 per t-shirt and sold 130 t-shirts. How much money did they make from selling the t-shirts? The equation to solve this problem is: ( ( 51.0 - 8.0 ) * 130.0 ),= 5970 5970
Being his favorite, he saved checking on the grapevines for his last stop. He was told by 294 of the pickers that they fill 244 drums of grapes per day and 47 drums of raspberries per day. How many drums of grapes would be filled in 146 days? The equation to solve this problem is: ( 244.0 * 146.0 ),35984
A book has 31 chapters. Each chapter is 61 pages long. How many pages does the book have altogether? The equation to solve this problem is: ( 31.0 * 61.0 ),1901
Being his favorite, he saved checking on the grapevines for his last stop. He was told by 235 of the pickers that they fill 100 drums of raspberries per day and 221 drums of grapes per day. How many drums of grapes would be filled in 77 days? The equation to solve this problem is: ( 221.0 * 77.0 ),17117
He then went to see the oranges being harvested. He found out that they harvest 31 sacks of ripe oranges and 24 sacks of unripe oranges per day. How many sacks of unripe oranges will they have after 45 days of harvest? The equation to solve this problem is: ( 24.0 * 45.0 ),= 1080 1080  Let me explain: He harvests 24 sacks of unripe oranges per day and he harvests for 45 days so he will have 24 * 45 = 1080 sacks of unripe oranges. 
The Razorback shop makes $ 67 dollars off each t-shirt and $ 165 off each jersey. During the Arkansas and Texas tech game they sold 74 t-shirts and 156 jerseys. How much money did they make from selling the jerseys? The equation to solve this problem is: ( 165.0 * 156.0 ),= 25740 25740
After resting they decided to go for a swim. The depth of the water is 5 times Ron's height. Dean is 11 feet shorter than Ron. If Ron stands at 12 feet How deep was the water? The equation to solve this problem is: ( 12.0 * 5.0 ),- 11.0 65
There are 466 pots. Each pot has 53 flowers and 181 sticks in it. How many flowers and sticks are there in all? The equation to solve this problem is: ( ( 53.0 + 181.0 ) * 466.0 ),150106
He then went to see the oranges being harvested. He found out that they harvest 65 sacks of unripe oranges and 46 sacks of ripe oranges per day. How many sacks of unripe oranges will they have after 6 days of harvest? The equation to solve this problem is: ( 65.0 * 6.0 ),= 390 390
Robin has 21 packages of gum and 45 packages of candy. There are 9 pieces in each package. How many pieces of candies does Robin have? The equation to solve this problem is: ( 45.0 * 9.0 ),+ ( 21.0 * 9.0 ) 405
Lewis earns $ 491 every week during the 1181 weeks of harvest. If he has to pay $ 216 rent every week How much money will have at the end of the harvest season? The equation to solve this problem is: ( ( 491.0 - 216.0 ) * 1181.0 ),15606
Faye had 35 packs of pencils each one having 4 pencils. She was placing her pencils into rows with 2 pencils in each row. How many rows could she make? The equation to solve this problem is: ( 35.0 * ( 4.0 / 2.0 ) ),70
Each Ferris wheel in paradise park has 19 seats. Each seat in a Ferris wheel can hold 15 people. How many people can ride 20 Ferris wheels at the same time? The equation to solve this problem is: ( ( 19.0 * 15.0 ) * 20.0 ),5700
Faye was placing her pencils into rows with 16 pencils in each row. She had 28 packs of pencils each one having 24 pencils. How many rows could she make? The equation to solve this problem is: ( 28.0 * ( 24.0 / 16.0 ) ),20
He had 15 aquariums for saltwater animals and 62 aquariums for freshwater animals. Each aquarium has 19 animals in it. How many animals does he have in total? The equation to solve this problem is: ( ( 15.0 + 62.0 ) * 19.0 ),1221
He then went to see the oranges being harvested. He found out that they harvest 25 sacks of unripe oranges and 5 sacks of ripe oranges per day. How many sacks of ripe oranges will they have after 73 days of harvest? The equation to solve this problem is: ( 5.0 * 73.0 ),= 365  365
The school is planning a field trip. The school has 84 classrooms. 95 school buses are fully filled with 118 seats on each school bus. How many students are in the school? The equation to solve this problem is: ( 95.0 * 118.0 ),+ 84.0 10,902
Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have? The equation to solve this problem is: ( 30.0 * 24.0 ),+ 71.0 744
Lewis earns $ 403 every week during the 233 weeks of harvest. If he has to pay $ 49 rent every week How much money does he earn during harvest season? The equation to solve this problem is: ( 403.0 * 233.0 ),- ( 49.0 * 233.0 ) 94527
He then went to see the oranges being harvested. He found out that they harvest 76 sacks per day and discard 64 of them. How many oranges do they harvest per day if each sack contains 50 oranges? The equation to solve this problem is: ( ( 76.0 - 64.0 ) * 50.0 ),1000
Every day Ryan spends 6 hours on learning english and 5 hours on learning chinese. If he learns for 2 days How many hours does he spend on learning english in all? The equation to solve this problem is: ( 6.0 * 2.0 ),= 12.0 12
If each pack costs 81 dollars How much will it cost to buy 33 packs of dvds? The equation to solve this problem is: ( 81.0 * 33.0 ),2673
There are 11 baskets of peaches. Each basket has 10 red peaches and 18 green peaches. How many peaches are in the baskets altogether? The equation to solve this problem is: ( ( 10.0 + 18.0 ) * 11.0 ),peaches 308 peaches
He then went to see the oranges being harvested. He found out that they harvest 74 sacks per day and discard 71 of them. How many sacks of oranges will they have after 51 days of harvest? The equation to solve this problem is: ( ( 74.0 - 71.0 ) * 51.0 ),100 300
Faye had 31 packs of pencils each one having 6 pencils. She was placing her pencils into rows with 19 pencils in each row. How many pencils does she have? The equation to solve this problem is: ( 31.0 * 6.0 ),/ 19.0 = 108.0 108
The school has 304 grades and each grade has 75 students How many students were there in total? The equation to solve this problem is: ( 304.0 * 75.0 ),22800
Faye was placing her pencils and crayons into 19 rows with 4 pencils and 27 crayons in each row. How many pencils does she have? The equation to solve this problem is: ( 19.0 * 4.0 ),= 76 The answer: 76
The Razorback t-shirt shop sells each t-shirt for $ 201 dollars. During the Arkansas and Texas tech game they increased the prices by $ 217 per t-shirt and sold 14 t-shirts. How much money did they make from selling the t-shirts? The equation to solve this problem is: ( ( 201.0 + 217.0 ) * 14.0 ),= 6,004.0 6,004
The Ferris wheel in paradise park has 18 seats. Each seat can hold 15 people. If 10 seats are broken How many people can ride the Ferris wheel at the same time? The equation to solve this problem is: ( ( 18.0 - 10.0 ) * 15.0 ),135
The school is planning a field trip. The school has 67 classrooms. There are 66 students in each classroom in the school. If there are 6 seats on each school bus How many buses are needed to take the trip? The equation to solve this problem is: ( 67.0 * ( 66.0 / 6.0 ) ),111
The Razorback t-shirt shop makes $ 87 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 95 t-shirts. If they sold 47 t-shirts during the Arkansas game How much money did they make from selling the t-shirts? The equation to solve this problem is: ( 87.0 * 95.0 ),- ( 87.0 * 47.0 ) = 7,285 7,285
Every day Ryan spends 5 hours on learning english and 4 hours on learning chinese. If he learns for 6 days How many hours does he spend on learning chinese in all? The equation to solve this problem is: ( 4.0 * 6.0 ),= 24 24 hours
Rebecca wants to split a collection of eggs into groups of 11. If each group has 2 eggs How many eggs does Rebecca have? The equation to solve this problem is: ( 11.0 * 2.0 ),22
Adam could fit 11 action figures on each shelf in his room. His room has 4 shelves and 40 cabinets. How many total action figures could his shelves hold? The equation to solve this problem is: ( 11.0 * 4.0 ),+ 40 = 104 40 cabinets * 11 action figures / cabinet = 440 action figures 440 action figures + 4 shelves * 11 action figures / shelf = 104 action figures
We ordered 9 pizzas. Each pizza has 10 slices. If there are 2 of us How many slices of pizza does each of us get if distributed equally? The equation to solve this problem is: ( 9.0 * ( 10.0 / 2.0 ) ),45
He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest? The equation to solve this problem is: ( ( 66.0 * 87.0 ) * 25.0 ),150500
Every day Ryan spends 6 hours on learning english and 7 hours on learning chinese. If he learns for 5 days How many hours does he spend on learning english and chinese in all? The equation to solve this problem is: ( ( 6.0 + 7.0 ) * 5.0 ),53
Ryan learns english and chinese for 7 days. Every day he spends 4 hours on learning english and 5 hours on learning chinese. How many hours does he spend on learning english and chinese in all? The equation to solve this problem is: ( ( 4.0 + 5.0 ) * 7.0 ),= 59 59
