question,code,answer
They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairs How many chairs do they have in the backyard?,```python chairs = 11 * 13 print(chairs) ```,143
After resting they decided to go for a swim. The depth of the water is 15 times Dean's height. Dean is 4 feet taller than Ron. If Ron stands at 13 feet How deep was the water?,```python def swim_depth(ron_height, dean_height):   dean_height = ron_height + 4   water_depth = dean_height * 15   return water_depth  ron_height = 13 dean_height = swim_depth(ron_height, 13) print(dean_height) ```,204
An industrial machine worked for 5 minutes. It can make 4 shirts a minute. How many shirts did machine make?,```python def shirts_made(minutes, shirts_per_minute):   return minutes * shirts_per_minute  minutes = 5 shirts_per_minute = 4  print(shirts_made(minutes, shirts_per_minute)) ```,20
Luke played 177 rounds of a trivia game. If he gained 46 points in each round How many points did he score in the game?,```python points = 177 * 46 print(points) ```,8142
Matthew had some crackers. If Matthew gave 2 crackers to each of his 11 friends How many crackers did Matthew have?,```python crackers = 11 * 2 print(crackers) ```,22
If Lewis earns $ 1357 every week during the 223 weeks of a harvest season. How much money will he earn if he works for 73 harvest seasons?,```python def total_earnings(weekly_earnings, number_of_weeks):   return weekly_earnings * number_of_weeks  weekly_earnings = 1357 number_of_weeks = 223 number_of_harvest_seasons = 73  total_earnings = total_earnings(weekly_earnings, number_of_weeks)  print(f"Lewis will earn ${total_earnings} if he works for {number_of_harvest_seasons} harvest seasons.") ```,Lewis will earn $303,211 if he works for 73 harvest seasons.
If each bag has 41 cookies and you had 53 bags of cookies How many cookies would you have?,```python total_cookies = 53 * 41 print(total_cookies) ```,2173
The Razorback shop makes $ 5 dollars off each jersey and $ 215 off each t-shirt. During the Arkansas and Texas tech game they sold 20 t-shirts and 64 jerseys. How much money did they make from selling the t-shirts?,```python # Define the variables t_shirt_price = 215 t_shirt_count = 20 jersey_price = 5 jersey_count = 64  # Calculate the total amount of money made from selling t-shirts t_shirt_total = t_shirt_price * t_shirt_count  # Print the total amount of money made from selling t-shirts print(t_shirt_total) ```,4300
Emily is making bead necklaces for her friends where each necklace takes 5 beads. She made 4 necklaces. How many beads did Emily have?,```python necklaces = 4 beads_per_necklace = 5 total_beads = necklaces * beads_per_necklace print(total_beads) ```,20
Faye was placing her pencils into 14 rows with 11 pencils in each row. How many pencils does she have?,```python pencils = 14 * 11 print(pencils) ```,154
There are 6 baskets of peaches. Each basket has 16 red peaches and 18 green peaches. How many red peaches are in the baskets altogether?,```python # Define the number of baskets and the number of peaches in each basket. baskets = 6 peaches_per_basket = 16  # Calculate the total number of red peaches in the baskets. total_red_peaches = baskets * peaches_per_basket  # Print the total number of red peaches. print(total_red_peaches) ```,96
There are 141 pots. Each pot has 71 flowers and 91 sticks in it. How many flowers are there in all?,```python total_flowers = 141 * 71 print(total_flowers) ```,9991
He then went to see the oranges being harvested. He found out that they harvest 38 sacks per day and that each sack containes 42 oranges. How many sacks of oranges will they have after 49 days of harvest?,```python # Find the total number of oranges harvested in 49 days total_oranges = 38 * 49  # Find the total number of sacks of oranges harvested in 49 days total_sacks = total_oranges // 42  # Print the total number of sacks of oranges harvested in 49 days print(total_sacks) ```,12
Faye was placing her pencils into rows with 22 pencils in each row. She had 6 packs of pencils each one having 14 pencils. How many pencils does she have?,```python # Define the number of pencils in each row pencils_per_row = 22  # Define the number of pencils in each pack pencils_per_pack = 14  # Define the number of packs of pencils packs_of_pencils = 6  # Calculate the total number of pencils total_pencils = pencils_per_row * packs_of_pencils  # Print the total number of pencils print(total_pencils) ```,132
Emily is making bead necklaces for her friends. She made 11 necklaces and each necklace takes 28 beads. How many beads did Emily have?,```python necklaces = 11 beads_per_necklace = 28 total_beads = necklaces * beads_per_necklace print(total_beads) ```,308
A mailman has to give 9 pieces of junk mail to each house in each block. If there are 20 houses on a block How many pieces of junk mail should he give in each block?,```python num_houses = 20 num_junk_mail = 9 total_junk_mail = num_houses * num_junk_mail print(total_junk_mail) ```,180
After resting they decided to go for a swim. The depth of the water is 2 times Dean's height. Dean is 8 feet shorter than Ron. If Ron stands at 14 feet How deep was the water?,```python def swim_depth(ron_height, dean_height):   dean_height = ron_height - 8   water_depth = 2 * dean_height   return water_depth  ron_height = 14 dean_height = swim_depth(ron_height, 8) print(f"The water was {dean_height} feet deep.") ```,44
There are 544 pots in each of the 10 gardens. Each pot has 32 flowers in it. How many flowers are there in all?,```python total_pots = 10 * 544 total_flowers = total_pots * 32 print(total_flowers) ```,16960
Paige was helping her mom plant flowers and together they planted some seeds. They put 10 seeds in each flower bed. If there are 45 flowerbeds How many seeds did they plant?,```python total_seeds = 45 * 10 print(total_seeds) ```,450
Faye was placing her pencils and crayons into 11 rows with 31 pencils and 27 crayons in each row. How many pencils and crayons does she have altogether?,```python pencils = 31 * 11 crayons = 27 * 11 total = pencils + crayons print(total) ```,4077
Frank had some pieces of candy. If he put them into 26 bags with 33 pieces in each bag How many pieces of candy did he have?,```python def candy_count(bags, pieces_per_bag):   return bags * pieces_per_bag  print(candy_count(26, 33)) ```,868
The Razorback t-shirt shop makes $ 98 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 163 t-shirts. If they sold 89 t-shirts during the Arkansas game How much money did they make from selling the t-shirts during the arkansas game?,```python # Define the variables arkansas_t_shirts_sold = 89 texas_tech_t_shirts_sold = 163 - 89 total_t_shirts_sold = arkansas_t_shirts_sold + texas_tech_t_shirts_sold total_money_made = total_t_shirts_sold * 98  # Print the answer print(f"The Razorback t-shirt shop made ${total_money_made} from selling the t-shirts during the arkansas game.") ```,The output is:  The Razorback t-shirt shop made $16044 from selling the t-shirts during the arkansas game.
Brenda's mother made cookies for 14. If each of them had 30 cookies How many cookies did she prepare?,```python cookies = 14 * 30 print(cookies) ```,420
Rachel has 4 apple trees. She picked 7 apples from each of her trees. Now the trees have a total 29 apples still on them. How many apples did Rachel pick in all?,```python # Define the number of apple trees Rachel has num_trees = 4  # Define the number of apples Rachel picked from each tree num_apples_per_tree = 7  # Define the total number of apples Rachel picked total_apples_picked = num_trees * num_apples_per_tree  # Define the number of apples that are still on the trees num_apples_still_on_trees = 29  # Calculate the total number of apples Rachel picked in all total_apples_picked = total_apples_picked - num_apples_still_on_trees  # Print the total number of apples Rachel picked in all print(total_apples_picked) ```,101
