question,scratch,answer
There are 8 different books and 5 different movies in the ' crazy silly school ' series. If you read 19 of the movies and watched 16 of the books How many more movies than books have you read? Equation: <equation> 19 - 16</equation> ,<scratch>Subtracting 16 from 19 at digit level;  19 >= 16;  Borrow: 0; 19 - 16 = 3. move one place left; 1 remains 1; final result: 3.</scratch>,3
Mary is baking a cake. The recipe calls for 12 cups of flour and 5 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour How many cups of flour did she put in? Equation: <equation> 12 - 2</equation> ,<scratch>Subtracting 2 from 12 at digit level;  12 >= 2;  Borrow: 0; 12 - 2 = 10. move one place left; 2 remains 2; final result: 10.</scratch>,10
Danny collects bottle caps and wrappers. He found 46 wrappers and 50 bottle caps at the park. Now he has 21 bottle caps and 52 wrappers in his collection. How many more bottle caps than wrappers did danny find at the park? Equation: <equation> 50 - 46</equation> ,<scratch>Subtracting 46 from 50 at digit level;  50 >= 46;  Borrow: 0; 50 - 46 = 4. move one place left; 0 remains 0; final result: 4.</scratch>,4
3 birds and 4 storks were sitting on the fence. 2 more birds came to join them. How many more birds than storks are sitting on the fence? Equation: <equation> 5 - 4</equation> ,<scratch>Adding 2 to 3 at digit level;  3 >= 2;  Borrow: 0; 3 + 2 = 5. move one place left; 0 remains 0; Subtracting 4 from 5 at digit level;  5 >= 4;  Borrow: 0; 5 - 4 = 1. move one place left; 0 remains 0; final result: 1.</scratch>,1
The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 9 inches. The mouse jumped 3 inches lesser than the frog who jumped 33 inches farther than the grasshopper. How far did the mouse jump? Equation: <equation> 42 - 3</equation> ,<scratch>Adding 33 to 9 at digit level;  9 >= 3;  Borrow: 0; 9 + 3 = 12. move one place left; 3 remains 3; Adding 12 to 3 at digit level;  12 >= 3;  Borrow: 0; 12 + 3 = 15. move one place left; 3 remains 3; final result: 42.</scratch>,42
Zachary did 35 push-ups and 3 crunches in gym class today. David did 58 more push-ups but 87 less crunches than zachary. How many more push-ups than crunches did Zachary do? Equation: <equation> 35 - 3</equation> ,<scratch>Subtracting 3 from 5 at digit level;  5 >= 3;  Borrow: 0; 5 - 3 = 2. move one place left; 3 remains 3; Subtracting 0 from 3 at digit level;  3 >= 0;  Borrow: 0; 3 - 0 = 3. move one place left; 5 remains 5; final result: 32.</scratch>,32
Jerry had 7 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed 10 of the old ones. If there are 8 action figures on his shelf now How many action figures did he add to the shelf? Equation: <equation> 18 - 7</equation> ,<scratch>Adding 8 to 7 at digit level;  8 >= 7;  Borrow: 0; 8 + 7 = 15. move one place left; 7 remains 7; Adding 0 to 7 at digit level;  7 >= 0;  Borrow: 0; 7 + 0 = 7. move one place left; 15 remains 15; final result: 15.</scratch>,15
Nell collects cards. She had 309 baseball cards and 356 Ace cards. She gave some of her cards to Jeff and now has 415 baseball cards and Ace cards left. How many more baseball cards than Ace cards does Nell have? Equation: <equation> 415 - 149</equation> ,<scratch>Subtracting 149 from 415 at digit level;  415 >= 149;  Borrow: 0; 415 - 149 = 266. move one place left; 5 remains 5; final result: 266.</scratch>,266
At the zoo, a cage had 93 snakes and 97 alligators. If 40 alligators were hiding How many alligators were not hiding? Equation: <equation> 97 - 40</equation> ,<scratch>Subtracting 40 from 97 at digit level;  9 >= 4;  Borrow: 1; 9 - 4 = 5. move one place left; 7 remains 7; Subtracting 0 from 7 at digit level;  7 >= 0;  Borrow: 0; 7 - 0 = 7. move one place left; 5 remains 5; final result: 57.</scratch>,57
You have read 8 books from the ' crazy silly school ' series. If there are a total of 14 different books in the ' crazy silly school ' series How many more do you still have to read? Equation: <equation> 14 - 8</equation> ,<scratch>Subtracting 8 from 14 at digit level;  14 >= 8;  Borrow: 0; 14 - 8 = 6. move one place left; 4 remains 4; final result: 6.</scratch>,6
