question;model_answer;answer
Solve this problem: Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?;72;72
Solve this problem: Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?;50  Let me explain: Betty has $100 / 2 = $50. Her parents gave her $15 and her grandparents gave her $15 * 2 = $30. So Betty has $50 + $15 + $30 = $95. Betty needs $100 - $95 = $5 more. ;5
Solve this problem: Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?;100  Let me explain: There are 10 * 1.8 = 18 purple flowers. There are 10 + 18 = 28 flowers in total. There are 28 * .25 = 7 green flowers. So, Mark has 28 + 7 = 35 flowers in his garden. ;35
Solve this problem: Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?;64  Let me explain: He buys 2 large pizzas with 16 slices each for a total of 2 * 16 = 32 slices. He buys 2 small pizzas with 8 slices each for a total of 2 * 8 = 16 slices. He eats 32 + 16 = 48 slices of pizza. ;48
Solve this problem: Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?;65;41
Solve this problem: Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?;1080  Let me explain: Tina works 10 hours a day for 5 days, so she works 10 * 5 = 50 hours. She works 50 - 8 = 42 hours of overtime. So she makes 42 * 18.00 + 42 * 9.00 = $1080. ;990
Solve this problem: Randy has 60 mango trees on his farm. He also has 5 less than half as many coconut trees as mango trees. How many trees does Randy have in all on his farm?;105;85
Solve this problem: Jasper will serve charcuterie at his dinner party. He buys 2 pounds of cheddar cheese for $10, a pound of cream cheese that cost half the price of the cheddar cheese, and a pack of cold cuts that cost twice the price of the cheddar cheese. How much does he spend on the ingredients?;40  Let me explain: The cream cheese cost 10 / 2 = $5. The cold cuts cost 10 * 2 = $20. So he spent 10 + 5 + 20 = $40 on the ingredients. ;35
Solve this problem: James creates a media empire.  He creates a movie for $2000.  Each DVD cost $6 to make.  He sells it for 2.5 times that much.  He sells 500 movies a day for 5 days a week.  How much profit does he make in 20 weeks?;100000  Let me explain: He sells 500 * 5 = 2500 movies a week. So he makes 2500 * 2.5 = $6250 a week. So he makes 6250 * 20 = $125000 in 20 weeks. So he makes 125000 - 2000 = $100000 in profit. ;448000
Solve this problem: The profit from a business transaction is shared among 2 business partners, Mike and Johnson in the ratio 2:5 respectively. If Johnson got $2500, how much will Mike have after spending some of his share on a shirt that costs $200?;1200  Let me explain: The total amount of profit is 2500 * 5 / 7 = $15000. Mike's share is 15000 * 2 / 7 = $6000. Mike will have 6000 - 200 = $5800. ;800
