question,scratch,answer
They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairs How many chairs do they have in the backyard? Equation: <equation> ( 11.0 * 13.0 )</equation> ,<scratch> Multiplying 11 and 13 at digit level. Current carry is 0; 11 times 3 plus carry gives 33; new carry is 0; result is 3.  Multiplying 11 and 10 at digit level. Current carry is 0; 11 times 0 plus carry gives 0; new carry is NaN; result is 0. The overall result is 330</scratch>,330
After resting they decided to go for a swim. The depth of the water is 15 times Dean's height. Dean is 4 feet taller than Ron. If Ron stands at 13 feet How deep was the water? Equation: <equation> ( ( 4.0 + 13.0 ) * 15.0 )</equation> ,<scratch> Adding 4 and 13 at digit level. Current carry is 0; 4 plus 13 plus carry gives 17; new carry is 0; result is 7.  Multiplying 7 by 15 at digit level. Current carry is 0; 7 times 15 plus carry gives 105; new carry is 0; result is 5. The overall result is 105</scratch>,105
An industrial machine worked for 5 minutes. It can make 4 shirts a minute. How many shirts did machine make? Equation: <equation> ( 4.0 * 5.0 )</equation> ,<scratch> Multiplying 4 and 5 at digit level. Current carry is 0; 4 times 5 plus carry gives 20; new carry is 0; result is 20. The overall result is 20</scratch>,20
Luke played 177 rounds of a trivia game. If he gained 46 points in each round How many points did he score in the game? Equation: <equation> ( 177.0 * 46.0 )</equation> ,<scratch> Multiplying 177 and 46 at digit level. Current carry is 0; 177 times 46 plus carry gives 8082; new carry is 0; result is 8082. The overall result is 8082</scratch>,8082
Matthew had some crackers. If Matthew gave 2 crackers to each of his 11 friends How many crackers did Matthew have? Equation: <equation> ( 11.0 * 2.0 )</equation> ,<scratch> Multiplying 11 and 2 at digit level. Current carry is 0; 11 times 2 plus carry gives 22; new carry is 0; result is 2. The overall result is 22</scratch>,22
If Lewis earns $ 1357 every week during the 223 weeks of a harvest season. How much money will he earn if he works for 73 harvest seasons? Equation: <equation> ( ( 1357.0 * 223.0 ) * 73.0 )</equation>,<scratch> Multiplying 1357 and 223 at digit level. Current carry is 0; 1357 times 223 plus carry gives 299661; new carry is 0; result is 299661.  Multiplying 299661 and 73 at digit level. Current carry is 0; 299661 times 73 plus carry gives 21873673; new carry is 0; result is 21873673. The overall result is 21873673</scratch>,21873673
If each bag has 41 cookies and you had 53 bags of cookies How many cookies would you have? Equation: <equation> ( 53.0 * 41.0 )</equation> ,<scratch> Multiplying 53 and 41 at digit level. Current carry is 0; 53 times 41 plus carry gives 2173; new carry is 0; result is 2173. The overall result is 2173</scratch>,2173
The Razorback shop makes $ 5 dollars off each jersey and $ 215 off each t-shirt. During the Arkansas and Texas tech game they sold 20 t-shirts and 64 jerseys. How much money did they make from selling the t-shirts? Equation: <equation> ( 215.0 * 20.0 )</equation> ,<scratch> Multiplying 215 and 20 at digit level. Current carry is 0; 215 times 20 plus carry gives 4300; new carry is 0; result is 4300. The overall result is 4300</scratch>,4300
Emily is making bead necklaces for her friends where each necklace takes 5 beads. She made 4 necklaces. How many beads did Emily have? Equation: <equation> ( 4.0 * 5.0 )</equation> ,<scratch> Multiplying 4 and 5 at digit level. Current carry is 0; 4 times 5 plus carry gives 20; new carry is 0; result is 20. The overall result is 20</scratch>,20
Faye was placing her pencils into 14 rows with 11 pencils in each row. How many pencils does she have? Equation: <equation> ( 14.0 * 11.0 )</equation> ,<scratch> Multiplying 14 and 11 at digit level. Current carry is 0; 14 times 11 plus carry gives 154; new carry is 0; result is 154. The overall result is 154</scratch>,154
There are 6 baskets of peaches. Each basket has 16 red peaches and 18 green peaches. How many red peaches are in the baskets altogether? Equation: <equation> ( 16.0 * 6.0 )</equation> ,<scratch> Multiplying 16 and 6 at digit level. Current carry is 0; 16 times 6 plus carry gives 96; new carry is 0; result is 96. The overall result is 96</scratch>,96
There are 141 pots. Each pot has 71 flowers and 91 sticks in it. How many flowers are there in all? Equation: <equation> ( 141.0 * 71.0 )</equation> ,<scratch> Multiplying 141 and 71 at digit level. Current carry is 0; 141 times 71 plus carry gives 9991; new carry is 0; result is 9991. The overall result is 9991</scratch>,9991
He then went to see the oranges being harvested. He found out that they harvest 38 sacks per day and that each sack containes 42 oranges. How many sacks of oranges will they have after 49 days of harvest? Equation: <equation> ( 38.0 * 49.0 )</equation> ,<scratch> Multiplying 38 and 49 at digit level. Current carry is 0; 38 times 9 plus carry gives 342; new carry is 0; result is 42.  Multiplying 38 and 4 at digit level. Current carry is 0; 38 times 4 plus carry gives 152; new carry is 0; result is 42. The overall result is 494</scratch>,494
