question,correct,model
A waiter had some customers. After 9 customers left he still had 12 customers.,21.0,21
6 birds were sitting on the fence. 4 more birds and 8 more storks came to join them.,10.0,10
In a school there are 732 girls and 761 boys. 682 more girls and 8 more boys joined the school.,1414.0,1614
Baker made 121 cakes. He sold 105 of them and bought 170 new cakes.,186.0,226
Because of the decision Sofia asked the students to suggest specific types of food from a total of 66 choices. If 450 students suggested adding mashed potatoes 38 suggested adding bacon to the menu and the rest did not participate,488.0,488
"A grocery store had 49 bottles of regular soda, 40 bottles of diet soda and 6 bottles of lite soda.",89.0,130
Dan has $ 4. He bought a candy bar for $ 8. Then his friend have him $ 5,1.0,-1
"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 703 visitors came to the Buckingham palace on the previous day. If there were 246 visitors on that day",949.0,949
"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening.",13.0,13
Julia played tag with 12 kids on monday. She played tag with 14 kids on tuesday. She spent a total of 34 hours to play tag on both days.,26.0,26
A waiter had 12 customers. After some left he still had 14 customers. Then he got 10 new customers,24.0,25
A farmer had 90 tomatoes in his garden. If he picked 154 of them yesterday and 50 today.,204.0,204
"5 red peaches, 14 yellow peaches and 6 green peaches are in the basket.",20.0,20
A waiter had 12 customers. While 15 customers left he got 14 new customers.,11.0,11
Olivia spent 78 dollars at a supermarket. If she has 33 dollars left with her,111.0,111
Jack received 3 emails and 64 letters in the morning. He then received 5 emails and 54 letters in the afternoon.,8.0,8
Paco had 40 cookies. He ate 2 of them. Then he bought 37 more cookies,75.0,75
Because of the decision Sofia asked the students to suggest specific types of food. If 218 students suggested adding mashed potatoes as well as bacon while 351 suggested adding only bacon to the menu,569.0,570
Allan brought 5 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park.,8.0,8
"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 19 inches. The frog jumped 10 inches farther than the grasshopper and the mouse jumped 20 inches farther than the frog.",30.0,30
Allan brought 3 balloons and Jake brought 5 balloons to the park. Allan then bought 2 more balloons at the park.,10.0,10
