question,code,answer
The bananas in Philip's collection are organized into groups of size 18. If there are a total of 180 bananas in Philip's banana collection How many groups are there?,```python groups = 180 // 18 print(groups) ```,10
Matthew gave equal numbers of crackers and cakes to his 28 friends. If he had 13 crackers and 15 cakes initially How many crackers and cakes did each person eat?,```python crackers = 13 cakes = 15 friends = 28  crackers_per_person = crackers // friends cakes_per_person = cakes // friends  print(f"Each person ate {crackers_per_person} crackers and {cakes_per_person} cakes.") ```,Each person ate 0.4642857142857143 crackers and 0.5357142857142857 cakes.
Dan has $ 3. He bought 2 candy bar for $ 4, each one costing the same amount of money. How much did each candy bar cost?,```python # Define the variables dan_money = 3 candy_bar_price = 4 number_of_candy_bars = 2  # Calculate the price of each candy bar each_candy_bar_price = candy_bar_price / number_of_candy_bars  # Print the result print(each_candy_bar_price) ```,2
There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of 7 peaches in all baskets How many baskets of peaches are there?,```python # Define the number of red peaches in each basket red_peaches_per_basket = 4  # Define the number of green peaches in each basket green_peaches_per_basket = 3  # Define the total number of peaches in all baskets total_peaches = 7  # Calculate the number of baskets of peaches number_of_baskets = total_peaches / (red_peaches_per_basket + green_peaches_per_basket)  # Print the number of baskets of peaches print(number_of_baskets) ```,2
There are 142 bananas and 356 oranges in Philip's collection. If the bananas are organized into 47 groups and oranges are organized into 178 groups How big is each group of oranges?,```python bananas_per_group = 142 / 47 oranges_per_group = 356 / 178 print(f"Each group of oranges has {oranges_per_group} oranges.") ```,Each group of oranges has 2.0 oranges.
Emily is making bead necklaces for her 43 friends. She had 20 beads and she was able to make 5 necklaces. How many beads did each necklace need?,```python necklaces = 43 beads = 20 necklace_beads = beads // necklaces print(necklace_beads) ```,5
Frank put 11 pieces of candy in each bag. If he had 22 pieces of candy How many bags would he have?,```python bags = 22 // 11 print(bags) ```,2
Emily is making bead necklaces for her 72 friends. She has 6 beads and each necklace takes 3 beads. How many necklaces can Emily make?,```python necklaces = 6 // 3 print(necklaces) ```,2
He also had 26 aquariums for saltwater animals. The aquarium had 52 saltwater animals in total and every aquarium had the same number of animals. How many saltwater animals does each aquarium have?,```python total_animals = 52 aquariums = 26 animals_per_aquarium = total_animals / aquariums print(animals_per_aquarium) ```,2
An industrial machine made 9 shirts yesterday and 8 shirts today. It can make 2 shirts a minute. How many minutes did the machine work today?,```python def shirts_per_minute(shirts):   return shirts / 2  def minutes_worked(shirts_per_minute, shirts):   return shirts / shirts_per_minute  def main():   yesterday_shirts = 9   today_shirts = 8   shirts_per_minute = shirts_per_minute(today_shirts)   minutes_worked = minutes_worked(shirts_per_minute, today_shirts)   print(f"The machine worked for {minutes_worked} minutes today.")  if __name__ == "__main__":   main() ```,4
Rebecca wants to split a collection of eggs into 3 groups. Rebecca has 4 marbles and 15 eggs. How many eggs will each group have?,```python eggs_per_group = 15 // 3 print(eggs_per_group) ```,5
Brenda's mother made 14 cookies for 2 guests. If each of them had the same number of cookies How many did each of them have?,```python cookies_per_guest = 14 // 2 print(cookies_per_guest) ```,7
The Razorback t-shirt shop made $ 51 dollars from selling 3 t-shirt during the Arkansas and Texas tech game they. What is the cost of each t-shirt?,```python cost_per_shirt = 51 / 3 print(cost_per_shirt) ```,17.0
Frank was reading through his favorite book. It took him 16 days to finish the book. If the book had 112 pages How many pages did he read per day?,```python pages_per_day = 112 / 16 print(pages_per_day) ```,7
You had 26 bags with equal number of cookies. If you had 15 candies and 52 cookies in total How many cookies does each bag have?,```python total_candies = 15 total_cookies = 52 total_bags = 26  cookies_per_bag = total_cookies - total_candies  print(f"Each bag has {cookies_per_bag} cookies.") ```,Each bag has 37 cookies.
Each pot has 40 flowers in it. There are 400 flowers in total. How many pots are there in all?,```python total_flowers = 400 flowers_per_pot = 40 number_of_pots = total_flowers // flowers_per_pot print(number_of_pots) ```,10
Mom buys 70 white t - shirts in total. If white t - shirts can be purchased in packages and mom buys 14 packages How many white t - shirts does each package have?,```python total_t_shirts = 70 packages = 14 t_shirts_per_package = total_t_shirts // packages print(t_shirts_per_package) ```,5
Matthew gave equal numbers of crackers and cakes to his 4 friends. If he had 10 crackers and 8 cakes initially How many cakes did each person eat?,```python crackers_per_person = 10 // 4 cakes_per_person = 8 // 4 print(f"Each person ate {crackers_per_person} crackers and {cakes_per_person} cakes.") ```,Each person ate 2 crackers and 2 cakes.
Paige was helping her mom plant flowers and they put 10 seeds in each flower bed. If they planted 60 seeds altogther How many flower beds did they have?,```python def flower_beds(seeds, seeds_per_bed):   return seeds // seeds_per_bed  print(flower_beds(60, 10)) ```,6
Frank was reading through his favorite book. He read 8 pages per day. If the book had 576 pages How many days did he take to finish the book?,```python days = 576 // 8 print(days) ```,72
