question,correct,model
The bananas in Philip's collection are organized into groups of size 18. If there are a total of 180 bananas in Philip's banana collection,10.0,10
Matthew gave equal numbers of crackers and cakes to his 28 friends. If he had 13 crackers and 15 cakes initially,1.0,= 3.4 3
"Dan has $ 3. He bought 2 candy bar for $ 4, each one costing the same amount of money.",2.0,= 2.0 2
There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of 7 peaches in all baskets,1.0,1
There are 142 bananas and 356 oranges in Philip's collection. If the bananas are organized into 47 groups and oranges are organized into 178 groups,2.0,2.0
Emily is making bead necklaces for her 43 friends. She had 20 beads and she was able to make 5 necklaces.,4.0,= 4.0 4
Frank put 11 pieces of candy in each bag. If he had 22 pieces of candy,2.0,= 2 bags 2
Emily is making bead necklaces for her 72 friends. She has 6 beads and each necklace takes 3 beads.,2.0,= 2 necklaces 2
He also had 26 aquariums for saltwater animals. The aquarium had 52 saltwater animals in total and every aquarium had the same number of animals.,2.0,= 2.0 2
An industrial machine made 9 shirts yesterday and 8 shirts today. It can make 2 shirts a minute.,4.0,= 4.0 minutes 4
Rebecca wants to split a collection of eggs into 3 groups. Rebecca has 4 marbles and 15 eggs.,5.0,= 5 5
Brenda's mother made 14 cookies for 2 guests. If each of them had the same number of cookies,7.0,= 7 7
The Razorback t-shirt shop made $ 51 dollars from selling 3 t-shirt during the Arkansas and Texas tech game they.,17.0,= 17.0 17
Frank was reading through his favorite book. It took him 16 days to finish the book. If the book had 112 pages,7.0,= 7.0 7
You had 26 bags with equal number of cookies. If you had 15 candies and 52 cookies in total,2.0,- 15.0 2.0
Each pot has 40 flowers in it. There are 400 flowers in total.,10.0,10
Mom buys 70 white t - shirts in total. If white t - shirts can be purchased in packages and mom buys 14 packages,5.0,5
Matthew gave equal numbers of crackers and cakes to his 4 friends. If he had 10 crackers and 8 cakes initially,2.0,= 2.0 2
Paige was helping her mom plant flowers and they put 10 seeds in each flower bed. If they planted 60 seeds altogther,6.0,= 6 6
Frank was reading through his favorite book. He read 8 pages per day. If the book had 576 pages,72.0,= 72 72
Carol was sending out birthday invitations to 10 friends. If each package of invitations she bought had 2 invitations in it,5.0,= 5 5
The school is planning a field trip. The school has 87 classrooms. There are 58 students in the school with each classroom having the same number of students. If there are 2 seats on each school bus.,29.0,* 87 = 231 buses 231
Emily is making bead necklaces for her friends. She had 2 beads and she was able to make 32 necklaces.,16.0,= 16 16 beads
An industrial machine made 13 shirts yesterday and 3 shirts today. It can make 8 shirts a minute.,2.0,= 2.0 2
An industrial machine can make 3 shirts per minute. It made 6 shirts in all.,2.0,= 2 minutes 2
Faye was placing 30 pencils into rows with 5 pencils in each row.,6.0,= 6 6 rows
Matthew had 15 crackers. If Matthew gave equal numbers of crackers to his 5 friends and still had 10 crackers left,1.0,= 2 2
Frank had 42 pieces of candy. If he put them equally into 2 bags,21.0,= 21 21
Haley has 20 marbles. In her class 2 boys love to play marbles. If she distributes her marbles equally,10.0,= 10 10
Debby bought 360 soda bottles and 162 water bottles when they were on sale. If she drank 122 water bottles and 9 soda bottles a day,40.0,= 40 40
During the Arkansas and Texas tech game the Razorback t-shirt shop made $ 60 by selling t-shirts. If they make $ 10 dollars off each t-shirt sold,6.0,= 6 6
White t - shirts can be purchased in packages. If mom buys 66 white t - shirts where each package has 3 white t - shirts.,22.0,= 22 22
Mom buys 51 white t - shirts. If white t - shirts can be purchased in packages of 3,17.0,17
We ordered 7 pizzas. Each pizza has the same number of slices. If there were a total of 14 slices,2.0,= 2 2
We ordered some pizzas. Each pizza has 2 slices. If there were a total of 28 slices,14.0,= 14 14
Rebecca wants to split a collection of eggs into groups of 3. Rebecca has 99 bananas 9 eggs and 27 marbles.,3.0, the answer is 3
In Haley's class some boys love to play marbles. Haley gives 2 marbles to each boy. If she had 28 marbles,14.0,= 14 14
Matthew had 14 crackers and 21 cakes. If Matthew gave equal numbers of crackers and cakes to his 7 friends,5.0,= 35 / 7 = 5
For the walls of the house he would use 4 nails in all to secure large planks of wood. If each plank of wood needs 2 pieces of nails to be secured,2.0,= 2 planks 2
Emily is making bead necklaces for her friends. Each necklace takes 8 beads and she has 16 beads.,2.0,= 2 2 necklaces
An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute.,3.0,= 3.0 minutes 3.0
The Razorback t-shirt shop makes $ 23 dollars off each t-shirt sold. During the Arkansas and Texas tech game they made $ 230 by selling t-shirts.,10.0,= 10 t-shirts 10
Melissa played 3 games and scored a total of 81 points scoring the same for each game.,27.0,= 27.0 27
Paige was helping her mom plant flowers and together they planted 45 seeds in 9 flowerbeds. If they put same number of seeds in each flower bed,5.0,= 5 5
The ring toss game at the carnival made 325 dollars in the first 154 days and 114 dollars in the remaining 57 days.,2.0,= 2.0 dollars 2
Brenda's mother made cookies for 10 guests but 9 guests did not come. If she prepared 18 cookies and each guest had the same number of cookies,18.0,= 3 3
Jesse needs a carpet of size 10 square feet to cover her room. If her room is 2 feet wide,5.0,= 5 5
Rebecca wants to split a collection of eggs into groups of 6. Rebecca has 18 eggs 72 bananas and 66 marbles.,3.0,= 3 3
The school is planning a field trip. The school has 72 classrooms. There are 3 seats on each school bus. If there are a total of 111 students in the school,37.0,= 37 37
Debby drinks 6 bottles a day. If she bought a total of 12 water bottles,2.0,= 2 2
Debby bought 301 water bottles when they were on sale. If she drank 144 bottles a day for some days. If she has 157 bottles left,1.0,= 10 10
Frank put some pieces of candy equally into 2 bags. If he had 16 pieces of candy,8.0,= 8 8
"Being his favorite, he saved checking on the grapevines for his last stop. He was told by 266 of the pickers that they fill 90 drums of grapes in 5 days.",18.0,= 18.0 18
There are 6 houses on a block. If a mailman has to give 24 pieces of junk mail to each block,4.0,= 4 4
Bryan took a look at his books as well. Each bookshelf contains 2 books. If he has a total of 38 books,19.0,= 19 19
Luke played a trivia game and gained 3 points in each round of a game. If he scored 78 points in the trivia game,26.0,= 26 rounds 26
Frank was reading through his favorite book. The book had 2 chapters each with 405 pages. It took frank 664 days to finish the book.,332.0,Failed to get answer
He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day.,3.0,= 3 3
Dan has $ 3. For a total of $ 4 he bought 2 candy bar each one costing the same amount of money.,2.0,= 2.0 2
16 people can ride the Ferris wheel in paradise park at the same time. If the Ferris wheel has 4 seats,4.0,= 4 4
If Lewis earns a total of $ 460 during 5 weeks of harvest,92.0,= 92 92
"Frank was reading through his favorite book. The book had 41 chapters, each with the same number of pages. It has a total of 450 pages. It took Frank 30 days to finish the book.",15.0,Failed to get answer
Frank was reading through some books. Each book had 249 pages and it took Frank 3 days to finish each book.,83.0,= 83.0 83
The ring toss game at the carnival made 120 dollars in the first 20 days and 66 dollars in the remaining 16 days.,6.0,= 6.0 6
Melissa scored a total of 21 points playing some games. Is she scored 7 points in each game.,3.0,= 3 games 3
Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day,64.0,= 64 64
If you had 4 bags with equal number of cookies and 36 cookies in total,9.0,= 9 9
White t - shirts can be purchased in packages of 13. If mom buys 39 white t - shirts,3.0,3
An industrial machine can make 3 shirts a minute. It made 4 shirts yesterday and 8 shirts today.,4.0,= 14 14
The ring toss game at the carnival made the same amount of money each day. In total in 30 days they earned 420 dollars. Together with game they earned 22 dollars.,14.0,- 22.0 = 14.0 14
You have 104 dollars.,4.0,4
