question,scratch,answer
There are 8 different books and 5 different movies in the ' crazy silly school ' series. If you read 19 of the movies and watched 16 of the books How many more movies than books have you read? The word problem can be solved by subtracting 16 from 19.  ,<scratch>To subtract 16 from 19, we can think of it as subtracting the digits in each place value. Subtracting 9 and 6 gives 3. Subtracting 1 and 1 gives 0. After subtracting all digits, we get the difference, which is 03. </scratch>,3
Mary is baking a cake. The recipe calls for 12 cups of flour and 5 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour How many cups of flour did she put in? The word problem can be solved by subtracting 2 from 12.  ,<scratch>To subtract 2 from 12, we can think of it as subtracting the digits in each place value. Subtracting 2 and 0 gives 10. Subtracting 1 and 2 gives 8. After subtracting all digits, we get the difference, which is 10. </scratch>,10
Danny collects bottle caps and wrappers. He found 46 wrappers and 50 bottle caps at the park. Now he has 21 bottle caps and 52 wrappers in his collection. How many more bottle caps than wrappers did danny find at the park? The word problem can be solved by subtracting 46 from 50.  ,<scratch>To subtract 46 from 50, we can think of it as subtracting the digits in each place value. Subtracting 0 and 6 gives 4. Subtracting 5 and 0 gives 5. After subtracting all digits, we get the difference, which is 04. </scratch>,4
3 birds and 4 storks were sitting on the fence. 2 more birds came to join them. How many more birds than storks are sitting on the fence? The word problem can be solved by subtracting 4 from 5.  ,<scratch>To subtract 4 from 5, we can think of it as subtracting the digits in each place value. Subtracting 5 and 4 gives 1. After subtracting all digits, we get the difference, which is 1. </scratch>,1
The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 9 inches. The mouse jumped 3 inches lesser than the frog who jumped 33 inches farther than the grasshopper. How far did the mouse jump? The word problem can be solved by subtracting 3 from 42.  ,<scratch>To subtract 3 from 42, we can think of it as subtracting the digits in each place value. Subtracting 2 and 3 gives 9. Subtracting 4 and 0 gives 4. After subtracting all digits, we get the difference, which is 39. </scratch>,39
Zachary did 35 push-ups and 3 crunches in gym class today. David did 58 more push-ups but 87 less crunches than zachary. How many more push-ups than crunches did Zachary do? The word problem can be solved by subtracting 3 from 35.  ,<scratch>To subtract 3 from 35, we can think of it as subtracting the digits in each place value. Subtracting 5 and 3 gives 2. Subtracting 8 and 0 gives 8. After subtracting all digits, we get the difference, which is 28. </scratch>,32
Jerry had 7 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed 10 of the old ones. If there are 8 action figures on his shelf now How many action figures did he add to the shelf? The word problem can be solved by subtracting 7 from 18.  ,<scratch>To subtract 7 from 18, we can think of it as subtracting the digits in each place value. Subtracting 8 and 7 gives 1. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 11. </scratch>,11
Nell collects cards. She had 309 baseball cards and 356 Ace cards. She gave some of her cards to Jeff and now has 415 baseball cards and Ace cards left. How many more baseball cards than Ace cards does Nell have? The word problem can be solved by subtracting 149 from 415.  ,<scratch>To subtract 149 from 415, we can think of it as subtracting the digits in each place value. Subtracting 5 and 9 gives 6. Subtracting 1 and 4 gives 7. After subtracting all digits, we get the difference, which is 266. </scratch>,266
At the zoo, a cage had 93 snakes and 97 alligators. If 40 alligators were hiding How many alligators were not hiding? The word problem can be solved by subtracting 40 from 97.  ,<scratch>To subtract 40 from 97, we can think of it as subtracting the digits in each place value. Subtracting 7 and 0 gives 7. Subtracting 9 and 4 gives 5. After subtracting all digits, we get the difference, which is 57. </scratch>,57
You have read 8 books from the ' crazy silly school ' series. If there are a total of 14 different books in the ' crazy silly school ' series How many more do you still have to read? The word problem can be solved by subtracting 8 from 14.  ,<scratch>To subtract 8 from 14, we can think of it as subtracting the digits in each place value. Subtracting 4 and 8 gives 6. Subtracting 1 and 0 gives 1. After subtracting all digits, we get the difference, which is 06. </scratch>,6
There is no subtraction operation in this equation,<scratch> </scratch>,10 + 10 = 20
There were 9 roses and 6 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 13 orchids and 3 roses in the vase. How many more orchids than roses are there in the vase now? The word problem can be solved by subtracting 3 from 13.  ,<scratch>To subtract 3 from 13, we can think of it as subtracting the digits in each place value. Subtracting 3 and 0 gives 10. Subtracting 1 and 3 gives 7. After subtracting all digits, we get the difference, which is 10. </scratch>,10
