question,answer
There are 8 different books and 5 different movies in the ' crazy silly school ' series. If you read 19 of the movies and watched 16 of the books How many more movies than books have you read? The equation to solve this problem is: <equation> ( 19.0 - 16.0 )</equation>,3
Mary is baking a cake. The recipe calls for 12 cups of flour and 5 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour How many cups of flour did she put in? The equation to solve this problem is: <equation> ( 12.0 - 2.0 )</equation>,10
Danny collects bottle caps and wrappers. He found 46 wrappers and 50 bottle caps at the park. Now he has 21 bottle caps and 52 wrappers in his collection. How many more bottle caps than wrappers did danny find at the park? The equation to solve this problem is: <equation> ( 50.0 - 46.0 )</equation>,4
3 birds and 4 storks were sitting on the fence. 2 more birds came to join them. How many more birds than storks are sitting on the fence? The equation to solve this problem is: <equation> ( ( 3.0 + 2.0 ) - 4.0 )</equation>,1
The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 9 inches. The mouse jumped 3 inches lesser than the frog who jumped 33 inches farther than the grasshopper. How far did the mouse jump? The equation to solve this problem is: <equation> ( ( 9.0 + 33.0 ) - 3.0 )</equation>,45
Zachary did 35 push-ups and 3 crunches in gym class today. David did 58 more push-ups but 87 less crunches than zachary. How many more push-ups than crunches did Zachary do? The equation to solve this problem is: <equation> ( 35.0 - 3.0 )</equation>,32
Jerry had 7 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed 10 of the old ones. If there are 8 action figures on his shelf now How many action figures did he add to the shelf? The equation to solve this problem is: <equation> ( ( 8.0 + 10.0 ) - 7.0 )</equation>,15
Nell collects cards. She had 309 baseball cards and 356 Ace cards. She gave some of her cards to Jeff and now has 415 baseball cards and Ace cards left. How many more baseball cards than Ace cards does Nell have? The equation to solve this problem is: <equation> ( 415.0 - 149.0 )</equation>,266
At the zoo, a cage had 93 snakes and 97 alligators. If 40 alligators were hiding How many alligators were not hiding? The equation to solve this problem is: <equation> ( 97.0 - 40.0 )</equation>,57
You have read 8 books from the ' crazy silly school ' series. If there are a total of 14 different books in the ' crazy silly school ' series How many more do you still have to read? The equation to solve this problem is: <equation> ( 14.0 - 8.0 )</equation>,Failed to get answer
Winter is almost here and most animals are migrating to warmer countries. There were 89 bird families living near the mountain. If 60 bird families flew away for winter How many more bird families flew away for the winter than those that stayed behind? The equation to solve this problem is: <equation> ( 60.0 - ( 89.0 - 60.0 ) )</equation>,10
There were 9 roses and 6 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 13 orchids and 3 roses in the vase. How many more orchids than roses are there in the vase now? The equation to solve this problem is: <equation> ( 13.0 - 3.0 )</equation>,10
